@relation abalone-19_vs_10-11-12-13
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@data
F, 0.47, 0.375, 0.105, 0.513, 0.232, 0.142, 0.13, negative
F, 0.505, 0.405, 0.18, 0.606, 0.239, 0.1235, 0.18, negative
I, 0.51, 0.405, 0.12, 0.61, 0.229, 0.131, 0.235, negative
M, 0.565, 0.44, 0.115, 0.9185, 0.404, 0.1785, 0.29, negative
F, 0.59, 0.415, 0.15, 0.8805, 0.3645, 0.234, 0.235, negative
M, 0.45, 0.335, 0.14, 0.478, 0.1865, 0.115, 0.16, negative
F, 0.62, 0.485, 0.175, 1.271, 0.531, 0.3075, 0.37, negative
M, 0.5, 0.4, 0.145, 0.6025, 0.216, 0.138, 0.21, negative
M, 0.57, 0.455, 0.15, 0.96, 0.387, 0.2385, 0.275, negative
M, 0.595, 0.5, 0.165, 1.06, 0.402, 0.28, 0.275, negative
F, 0.495, 0.385, 0.135, 0.6625, 0.3005, 0.1635, 0.185, negative
M, 0.465, 0.36, 0.125, 0.4365, 0.169, 0.1075, 0.145, negative
M, 0.55, 0.45, 0.17, 0.81, 0.317, 0.157, 0.22, negative
F, 0.59, 0.475, 0.155, 0.9715, 0.371, 0.235, 0.28, negative
M, 0.565, 0.44, 0.155, 0.868, 0.348, 0.217, 0.26, negative
F, 0.495, 0.375, 0.15, 0.597, 0.2615, 0.135, 0.178, negative
F, 0.66, 0.525, 0.19, 1.67, 0.6525, 0.4875, 0.49, negative
M, 0.4, 0.31, 0.11, 0.314, 0.138, 0.057, 0.1, negative
I, 0.45, 0.355, 0.115, 0.4385, 0.184, 0.108, 0.1125, negative
I, 0.49, 0.385, 0.14, 0.5425, 0.198, 0.127, 0.175, negative
F, 0.51, 0.34, 0.18, 0.7005, 0.312, 0.165, 0.2, negative
F, 0.45, 0.35, 0.125, 0.4435, 0.185, 0.09, 0.145, negative
M, 0.415, 0.32, 0.1, 0.3005, 0.1215, 0.0575, 0.104, negative
I, 0.445, 0.345, 0.13, 0.4075, 0.1365, 0.0645, 0.18, negative
M, 0.33, 0.245, 0.085, 0.171, 0.0655, 0.0365, 0.055, negative
I, 0.44, 0.31, 0.115, 0.3625, 0.134, 0.082, 0.12, negative
M, 0.6, 0.475, 0.15, 1.089, 0.5195, 0.223, 0.292, negative
F, 0.625, 0.495, 0.16, 1.1115, 0.4495, 0.2825, 0.345, negative
M, 0.625, 0.485, 0.17, 1.437, 0.5855, 0.293, 0.475, negative
F, 0.615, 0.49, 0.19, 1.1345, 0.4695, 0.257, 0.348, negative
F, 0.64, 0.5, 0.165, 1.1635, 0.554, 0.239, 0.32, negative
M, 0.655, 0.52, 0.18, 1.492, 0.7185, 0.36, 0.355, negative
F, 0.655, 0.54, 0.175, 1.5585, 0.7285, 0.402, 0.385, negative
F, 0.7, 0.575, 0.2, 1.7365, 0.7755, 0.3965, 0.461, negative
F, 0.7, 0.56, 0.175, 1.6605, 0.8605, 0.3275, 0.398, negative
M, 0.71, 0.57, 0.195, 1.348, 0.8985, 0.4435, 0.4535, negative
I, 0.58, 0.47, 0.15, 0.907, 0.444, 0.1855, 0.2445, negative
F, 0.6, 0.475, 0.155, 1.059, 0.441, 0.19, 0.39, negative
I, 0.63, 0.465, 0.15, 1.0315, 0.4265, 0.24, 0.325, negative
M, 0.65, 0.515, 0.18, 1.463, 0.658, 0.3135, 0.4115, negative
F, 0.65, 0.52, 0.195, 1.6275, 0.689, 0.3905, 0.432, negative
M, 0.655, 0.525, 0.16, 1.46, 0.686, 0.311, 0.405, negative
M, 0.66, 0.515, 0.2, 1.6465, 0.749, 0.422, 0.401, negative
M, 0.685, 0.53, 0.17, 1.56, 0.647, 0.383, 0.465, negative
F, 0.61, 0.49, 0.17, 1.3475, 0.7045, 0.25, 0.3045, negative
M, 0.615, 0.475, 0.155, 1.0735, 0.4375, 0.2585, 0.31, negative
M, 0.63, 0.515, 0.17, 1.385, 0.6355, 0.2955, 0.38, negative
I, 0.53, 0.395, 0.125, 0.6235, 0.2975, 0.108, 0.195, negative
F, 0.585, 0.42, 0.155, 1.034, 0.437, 0.2225, 0.32, negative
M, 0.605, 0.49, 0.165, 1.1245, 0.492, 0.222, 0.3555, negative
M, 0.615, 0.47, 0.175, 1.242, 0.5675, 0.287, 0.317, negative
M, 0.62, 0.5, 0.18, 1.3915, 0.726, 0.2795, 0.332, negative
I, 0.62, 0.47, 0.155, 0.966, 0.447, 0.171, 0.284, negative
I, 0.63, 0.49, 0.17, 1.217, 0.5515, 0.212, 0.31, negative
M, 0.65, 0.52, 0.17, 1.3655, 0.6155, 0.2885, 0.36, negative
M, 0.65, 0.495, 0.17, 1.276, 0.6215, 0.2305, 0.399, negative
M, 0.65, 0.525, 0.19, 1.3685, 0.5975, 0.296, 0.4, negative
F, 0.665, 0.54, 0.195, 1.764, 0.8505, 0.3615, 0.47, negative
F, 0.67, 0.51, 0.155, 1.278, 0.5605, 0.3045, 0.358, negative
F, 0.675, 0.535, 0.185, 1.5575, 0.7035, 0.402, 0.4, negative
M, 0.675, 0.51, 0.17, 1.527, 0.809, 0.318, 0.341, negative
M, 0.685, 0.535, 0.175, 1.432, 0.637, 0.247, 0.46, negative
M, 0.705, 0.55, 0.21, 1.4385, 0.655, 0.3255, 0.462, negative
M, 0.71, 0.555, 0.175, 2.14, 1.2455, 0.3725, 0.434, negative
F, 0.725, 0.56, 0.185, 1.792, 0.873, 0.367, 0.435, negative
M, 0.78, 0.6, 0.21, 2.548, 1.1945, 0.5745, 0.6745, negative
F, 0.65, 0.5, 0.17, 1.4045, 0.694, 0.318, 0.3235, negative
I, 0.53, 0.41, 0.15, 0.612, 0.2435, 0.1525, 0.1895, negative
M, 0.62, 0.48, 0.155, 1.2555, 0.527, 0.374, 0.3175, negative
F, 0.65, 0.495, 0.175, 1.227, 0.528, 0.258, 0.37, negative
F, 0.705, 0.56, 0.17, 1.4575, 0.607, 0.318, 0.44, negative
M, 0.625, 0.47, 0.17, 1.1665, 0.4605, 0.2565, 0.3945, negative
M, 0.68, 0.54, 0.195, 1.7825, 0.5565, 0.3235, 0.4285, negative
M, 0.68, 0.52, 0.175, 1.543, 0.7525, 0.351, 0.374, negative
M, 0.535, 0.41, 0.15, 0.8105, 0.345, 0.187, 0.24, negative
M, 0.5, 0.42, 0.125, 0.62, 0.255, 0.15, 0.205, negative
M, 0.455, 0.35, 0.105, 0.416, 0.1625, 0.097, 0.145, negative
F, 0.485, 0.4, 0.155, 0.731, 0.236, 0.183, 0.255, negative
I, 0.54, 0.4, 0.145, 0.757, 0.315, 0.181, 0.215, negative
I, 0.56, 0.445, 0.165, 1.0285, 0.4535, 0.253, 0.275, negative
F, 0.49, 0.37, 0.115, 0.541, 0.171, 0.1175, 0.185, negative
M, 0.52, 0.41, 0.115, 0.77, 0.263, 0.157, 0.26, negative
M, 0.505, 0.39, 0.105, 0.6555, 0.2595, 0.18, 0.19, negative
F, 0.525, 0.4, 0.115, 0.6295, 0.2555, 0.144, 0.18, negative
F, 0.68, 0.55, 0.19, 1.807, 0.8225, 0.3655, 0.515, negative
M, 0.69, 0.55, 0.195, 1.777, 0.769, 0.38, 0.4305, negative
M, 0.63, 0.48, 0.185, 1.21, 0.53, 0.2555, 0.322, negative
F, 0.655, 0.545, 0.185, 1.759, 0.6865, 0.313, 0.547, negative
F, 0.585, 0.46, 0.15, 1.0035, 0.503, 0.2105, 0.2515, negative
M, 0.66, 0.505, 0.19, 1.4385, 0.6775, 0.285, 0.178, negative
F, 0.68, 0.55, 0.175, 1.473, 0.713, 0.282, 0.4295, negative
M, 0.72, 0.545, 0.195, 1.7475, 0.8215, 0.383, 0.4705, negative
I, 0.52, 0.41, 0.14, 0.5995, 0.242, 0.1375, 0.182, negative
I, 0.56, 0.44, 0.155, 0.811, 0.3685, 0.178, 0.235, negative
M, 0.6, 0.46, 0.155, 0.6655, 0.285, 0.149, 0.269, negative
M, 0.62, 0.485, 0.145, 1.003, 0.4655, 0.2195, 0.28, negative
M, 0.645, 0.51, 0.165, 1.403, 0.5755, 0.2515, 0.4545, negative
F, 0.69, 0.535, 0.185, 1.826, 0.797, 0.409, 0.499, negative
F, 0.63, 0.515, 0.16, 1.336, 0.553, 0.3205, 0.35, negative
M, 0.585, 0.51, 0.16, 1.218, 0.639, 0.241, 0.3, negative
M, 0.615, 0.475, 0.205, 1.337, 0.5995, 0.2815, 0.37, negative
F, 0.625, 0.49, 0.19, 1.7015, 0.7465, 0.4105, 0.3855, negative
F, 0.635, 0.485, 0.155, 1.073, 0.467, 0.1975, 0.35, negative
F, 0.675, 0.51, 0.15, 1.1965, 0.475, 0.304, 0.386, negative
M, 0.68, 0.545, 0.185, 1.672, 0.7075, 0.364, 0.48, negative
F, 0.71, 0.545, 0.175, 1.907, 0.8725, 0.4565, 0.475, negative
F, 0.72, 0.59, 0.205, 1.7495, 0.7755, 0.4225, 0.48, negative
M, 0.55, 0.42, 0.145, 0.7385, 0.321, 0.1485, 0.252, negative
M, 0.585, 0.45, 0.15, 0.997, 0.4055, 0.283, 0.251, negative
F, 0.6, 0.5, 0.17, 1.13, 0.4405, 0.267, 0.335, negative
M, 0.63, 0.49, 0.155, 1.229, 0.535, 0.29, 0.335, negative
F, 0.65, 0.505, 0.165, 1.357, 0.5725, 0.281, 0.43, negative
M, 0.67, 0.535, 0.19, 1.669, 0.7465, 0.2935, 0.508, negative
M, 0.67, 0.525, 0.2, 1.7405, 0.6205, 0.297, 0.657, negative
M, 0.695, 0.55, 0.195, 1.6645, 0.727, 0.36, 0.445, negative
M, 0.77, 0.605, 0.175, 2.0505, 0.8005, 0.526, 0.355, negative
F, 0.585, 0.475, 0.165, 1.053, 0.458, 0.217, 0.3, negative
F, 0.585, 0.455, 0.17, 0.9945, 0.4255, 0.263, 0.2845, negative
F, 0.565, 0.45, 0.165, 0.887, 0.37, 0.239, 0.249, negative
M, 0.53, 0.42, 0.165, 0.8945, 0.319, 0.239, 0.245, negative
M, 0.385, 0.31, 0.1, 0.2845, 0.1065, 0.075, 0.1, negative
M, 0.63, 0.49, 0.19, 1.1775, 0.4935, 0.3365, 0.285, negative
F, 0.615, 0.525, 0.155, 1.0385, 0.427, 0.2315, 0.345, negative
F, 0.44, 0.355, 0.115, 0.415, 0.1585, 0.0925, 0.131, negative
M, 0.465, 0.36, 0.08, 0.488, 0.191, 0.125, 0.155, negative
F, 0.625, 0.49, 0.2, 1.3825, 0.5895, 0.285, 0.381, negative
F, 0.595, 0.47, 0.155, 1.121, 0.4515, 0.178, 0.155, negative
M, 0.65, 0.5, 0.155, 1.202, 0.565, 0.3135, 0.294, negative
M, 0.645, 0.51, 0.155, 1.539, 0.6405, 0.3585, 0.43, negative
F, 0.645, 0.505, 0.165, 1.318, 0.55, 0.3015, 0.335, negative
I, 0.53, 0.42, 0.13, 0.8365, 0.3745, 0.167, 0.249, negative
M, 0.665, 0.505, 0.16, 1.289, 0.6145, 0.253, 0.3665, negative
M, 0.71, 0.56, 0.22, 2.015, 0.9215, 0.454, 0.566, negative
M, 0.6, 0.495, 0.175, 1.3005, 0.6195, 0.284, 0.3285, negative
I, 0.575, 0.45, 0.135, 0.8245, 0.3375, 0.2115, 0.239, negative
F, 0.61, 0.47, 0.165, 1.1785, 0.566, 0.2785, 0.294, negative
M, 0.62, 0.49, 0.16, 1.035, 0.44, 0.2525, 0.285, negative
F, 0.585, 0.485, 0.15, 1.079, 0.4145, 0.2115, 0.356, negative
F, 0.645, 0.5, 0.2, 1.4285, 0.639, 0.305, 0.36, negative
F, 0.44, 0.345, 0.105, 0.4285, 0.165, 0.083, 0.132, negative
M, 0.5, 0.39, 0.13, 0.709, 0.275, 0.168, 0.18, negative
F, 0.635, 0.495, 0.18, 1.596, 0.617, 0.317, 0.37, negative
M, 0.48, 0.375, 0.12, 0.5895, 0.2535, 0.128, 0.172, negative
F, 0.66, 0.525, 0.2, 1.463, 0.6525, 0.2995, 0.422, negative
M, 0.665, 0.515, 0.19, 1.6385, 0.831, 0.3575, 0.371, negative
M, 0.61, 0.48, 0.14, 1.0625, 0.516, 0.225, 0.2915, negative
I, 0.52, 0.41, 0.14, 0.6625, 0.2775, 0.1555, 0.196, negative
I, 0.52, 0.395, 0.115, 0.6445, 0.3155, 0.1245, 0.186, negative
I, 0.55, 0.445, 0.145, 0.783, 0.3045, 0.157, 0.265, negative
M, 0.5, 0.385, 0.135, 0.551, 0.2245, 0.0715, 0.206, negative
M, 0.41, 0.31, 0.125, 0.3595, 0.1415, 0.0885, 0.115, negative
F, 0.63, 0.475, 0.15, 1.172, 0.536, 0.254, 0.316, negative
F, 0.665, 0.52, 0.165, 1.6885, 0.7295, 0.407, 0.4265, negative
M, 0.72, 0.565, 0.2, 1.787, 0.718, 0.385, 0.529, negative
F, 0.72, 0.545, 0.185, 1.7185, 0.7925, 0.401, 0.468, negative
M, 0.6, 0.475, 0.23, 1.157, 0.522, 0.2235, 0.36, negative
M, 0.625, 0.49, 0.165, 1.1835, 0.517, 0.2375, 0.39, negative
I, 0.625, 0.485, 0.16, 1.15, 0.5255, 0.257, 0.3315, negative
M, 0.67, 0.54, 0.195, 1.217, 0.532, 0.2735, 0.3315, negative
F, 0.62, 0.5, 0.175, 1.107, 0.4895, 0.24, 0.343, negative
F, 0.675, 0.54, 0.21, 1.593, 0.686, 0.318, 0.45, negative
I, 0.565, 0.43, 0.135, 0.8545, 0.321, 0.1775, 0.275, negative
F, 0.67, 0.52, 0.195, 1.8065, 0.758, 0.3735, 0.5055, negative
I, 0.55, 0.445, 0.125, 0.672, 0.288, 0.1365, 0.21, negative
M, 0.56, 0.45, 0.145, 0.9355, 0.425, 0.1645, 0.2725, negative
M, 0.63, 0.485, 0.18, 1.2435, 0.5175, 0.308, 0.37, negative
I, 0.58, 0.425, 0.145, 0.83, 0.379, 0.1605, 0.2575, negative
M, 0.63, 0.505, 0.155, 1.105, 0.492, 0.226, 0.325, negative
M, 0.5, 0.4, 0.13, 0.6645, 0.258, 0.133, 0.24, negative
F, 0.565, 0.44, 0.155, 0.9395, 0.4275, 0.214, 0.27, negative
M, 0.59, 0.445, 0.14, 0.931, 0.356, 0.234, 0.28, negative
F, 0.565, 0.44, 0.16, 0.915, 0.354, 0.1935, 0.32, negative
M, 0.62, 0.51, 0.175, 1.615, 0.5105, 0.192, 0.675, negative
F, 0.57, 0.465, 0.18, 1.295, 0.339, 0.2225, 0.44, negative
F, 0.575, 0.45, 0.16, 0.9775, 0.3135, 0.231, 0.33, negative
M, 0.555, 0.44, 0.15, 0.755, 0.307, 0.1525, 0.26, negative
M, 0.605, 0.47, 0.16, 1.1735, 0.4975, 0.2405, 0.345, negative
F, 0.52, 0.41, 0.155, 0.727, 0.291, 0.1835, 0.235, negative
F, 0.565, 0.45, 0.135, 0.9885, 0.387, 0.1495, 0.31, negative
M, 0.61, 0.485, 0.175, 1.2445, 0.544, 0.297, 0.345, negative
F, 0.68, 0.515, 0.175, 1.6185, 0.5125, 0.409, 0.62, negative
F, 0.645, 0.51, 0.2, 1.5675, 0.621, 0.367, 0.46, negative
F, 0.63, 0.48, 0.15, 1.0525, 0.392, 0.336, 0.285, negative
M, 0.61, 0.485, 0.17, 1.0225, 0.419, 0.2405, 0.36, negative
M, 0.5, 0.405, 0.155, 0.772, 0.346, 0.1535, 0.245, negative
F, 0.5, 0.4, 0.145, 0.63, 0.234, 0.1465, 0.23, negative
F, 0.415, 0.325, 0.105, 0.38, 0.1595, 0.0785, 0.12, negative
I, 0.44, 0.35, 0.135, 0.435, 0.1815, 0.083, 0.125, negative
F, 0.595, 0.455, 0.155, 1.0605, 0.5135, 0.2165, 0.3, negative
F, 0.57, 0.44, 0.125, 0.865, 0.3675, 0.1725, 0.27, negative
F, 0.66, 0.53, 0.185, 1.3485, 0.493, 0.245, 0.49, negative
F, 0.565, 0.505, 0.21, 1.2765, 0.501, 0.279, 0.355, negative
M, 0.51, 0.4, 0.13, 0.6435, 0.27, 0.1665, 0.205, negative
M, 0.62, 0.465, 0.185, 1.274, 0.579, 0.3065, 0.32, negative
F, 0.505, 0.375, 0.18, 0.568, 0.2325, 0.1495, 0.17, negative
M, 0.57, 0.46, 0.14, 0.9535, 0.4465, 0.2065, 0.245, negative
F, 0.59, 0.465, 0.15, 0.997, 0.392, 0.246, 0.34, negative
F, 0.62, 0.5, 0.175, 1.186, 0.4985, 0.3015, 0.35, negative
M, 0.63, 0.49, 0.18, 1.13, 0.458, 0.2765, 0.315, negative
F, 0.61, 0.495, 0.185, 1.1085, 0.3705, 0.3135, 0.33, negative
M, 0.47, 0.375, 0.12, 0.5565, 0.226, 0.122, 0.195, negative
M, 0.54, 0.42, 0.155, 0.7385, 0.3515, 0.152, 0.215, negative
M, 0.535, 0.44, 0.15, 0.6765, 0.256, 0.139, 0.26, negative
F, 0.525, 0.44, 0.15, 0.8425, 0.3685, 0.1985, 0.24, negative
M, 0.545, 0.44, 0.12, 0.8565, 0.3475, 0.1715, 0.24, negative
F, 0.585, 0.465, 0.17, 0.9915, 0.3865, 0.224, 0.265, negative
F, 0.67, 0.55, 0.19, 1.3905, 0.5425, 0.3035, 0.4, negative
M, 0.63, 0.48, 0.145, 1.0115, 0.4235, 0.237, 0.305, negative
F, 0.64, 0.52, 0.175, 1.248, 0.4245, 0.2595, 0.48, negative
F, 0.58, 0.44, 0.18, 0.854, 0.3665, 0.1635, 0.245, negative
M, 0.56, 0.46, 0.235, 0.8395, 0.3325, 0.157, 0.305, negative
F, 0.57, 0.45, 0.16, 0.9715, 0.3965, 0.255, 0.26, negative
I, 0.47, 0.37, 0.12, 0.4705, 0.1845, 0.1055, 0.155, negative
F, 0.565, 0.45, 0.16, 0.795, 0.3605, 0.1555, 0.23, negative
I, 0.56, 0.44, 0.165, 0.8, 0.335, 0.1735, 0.25, negative
F, 0.66, 0.5, 0.165, 1.1905, 0.4585, 0.298, 0.37, negative
I, 0.485, 0.355, 0.13, 0.581, 0.245, 0.132, 0.168, negative
I, 0.435, 0.33, 0.125, 0.406, 0.1685, 0.1055, 0.096, negative
M, 0.535, 0.42, 0.15, 0.6995, 0.2575, 0.153, 0.24, negative
I, 0.605, 0.495, 0.145, 1.054, 0.369, 0.2255, 0.36, negative
I, 0.515, 0.39, 0.14, 0.5555, 0.2, 0.1135, 0.2235, negative
M, 0.35, 0.265, 0.09, 0.1775, 0.0575, 0.042, 0.068, negative
F, 0.44, 0.345, 0.17, 0.4085, 0.15, 0.0825, 0.1515, negative
F, 0.47, 0.355, 0.14, 0.433, 0.1525, 0.095, 0.152, negative
F, 0.5, 0.385, 0.115, 0.6785, 0.2945, 0.138, 0.195, negative
F, 0.525, 0.405, 0.16, 0.658, 0.2655, 0.1125, 0.225, negative
F, 0.38, 0.305, 0.105, 0.281, 0.1045, 0.0615, 0.09, negative
M, 0.54, 0.415, 0.145, 0.74, 0.2635, 0.168, 0.245, negative
M, 0.385, 0.285, 0.105, 0.2905, 0.1215, 0.0685, 0.0875, negative
M, 0.395, 0.295, 0.115, 0.316, 0.1205, 0.0595, 0.1105, negative
F, 0.48, 0.375, 0.105, 0.525, 0.2185, 0.1195, 0.155, negative
F, 0.52, 0.405, 0.125, 0.6435, 0.2415, 0.1735, 0.21, negative
M, 0.505, 0.385, 0.15, 0.6415, 0.246, 0.152, 0.215, negative
M, 0.495, 0.385, 0.135, 0.709, 0.211, 0.1375, 0.262, negative
F, 0.6, 0.465, 0.165, 0.8875, 0.309, 0.246, 0.262, negative
M, 0.575, 0.45, 0.165, 0.9215, 0.3275, 0.225, 0.256, negative
M, 0.58, 0.465, 0.16, 1.0345, 0.315, 0.26, 0.3635, negative
F, 0.52, 0.41, 0.115, 0.807, 0.2855, 0.179, 0.235, negative
M, 0.505, 0.405, 0.14, 0.875, 0.2665, 0.174, 0.285, negative
F, 0.595, 0.465, 0.14, 1.113, 0.5175, 0.244, 0.305, negative
F, 0.615, 0.5, 0.175, 1.377, 0.5585, 0.33, 0.292, negative
M, 0.615, 0.505, 0.165, 1.34, 0.5315, 0.2815, 0.41, negative
F, 0.675, 0.525, 0.17, 1.8095, 0.784, 0.391, 0.455, negative
F, 0.675, 0.565, 0.195, 1.8375, 0.7645, 0.3615, 0.553, negative
M, 0.68, 0.535, 0.185, 1.607, 0.7245, 0.3215, 0.498, negative
F, 0.705, 0.535, 0.18, 1.685, 0.693, 0.42, 0.4045, negative
M, 0.7, 0.575, 0.19, 2.273, 1.095, 0.418, 0.638, negative
M, 0.715, 0.55, 0.19, 2.0045, 1.0465, 0.407, 0.5075, negative
M, 0.725, 0.505, 0.185, 1.978, 1.026, 0.4255, 0.4505, negative
F, 0.73, 0.575, 0.185, 1.8795, 0.931, 0.38, 0.4825, negative
F, 0.595, 0.465, 0.155, 1.026, 0.4645, 0.112, 0.305, negative
F, 0.605, 0.47, 0.16, 1.0835, 0.5405, 0.2215, 0.275, negative
M, 0.61, 0.48, 0.165, 1.244, 0.6345, 0.257, 0.305, negative
F, 0.615, 0.475, 0.165, 1.023, 0.4905, 0.1955, 0.3035, negative
M, 0.62, 0.495, 0.18, 1.2555, 0.5765, 0.254, 0.355, negative
F, 0.625, 0.48, 0.155, 1.2035, 0.5865, 0.239, 0.3185, negative
M, 0.63, 0.495, 0.16, 1.093, 0.497, 0.221, 0.315, negative
F, 0.7, 0.545, 0.13, 1.556, 0.6725, 0.374, 0.195, negative
F, 0.705, 0.57, 0.18, 1.5345, 0.96, 0.4195, 0.43, negative
M, 0.72, 0.575, 0.215, 2.173, 0.9515, 0.564, 0.5365, negative
F, 0.735, 0.565, 0.205, 2.1275, 0.949, 0.46, 0.565, negative
F, 0.68, 0.5, 0.185, 1.741, 0.7665, 0.3255, 0.4685, negative
M, 0.69, 0.525, 0.2, 1.7825, 0.9165, 0.3325, 0.461, negative
M, 0.72, 0.565, 0.2, 2.1055, 1.017, 0.363, 0.494, negative
I, 0.55, 0.42, 0.135, 0.816, 0.3995, 0.1485, 0.23, negative
I, 0.57, 0.445, 0.145, 0.7405, 0.306, 0.172, 0.1825, negative
F, 0.61, 0.485, 0.15, 1.2405, 0.6025, 0.2915, 0.3085, negative
I, 0.62, 0.485, 0.18, 1.154, 0.4935, 0.256, 0.315, negative
F, 0.62, 0.48, 0.18, 1.2215, 0.582, 0.2695, 0.313, negative
I, 0.625, 0.47, 0.155, 1.1955, 0.643, 0.2055, 0.3145, negative
M, 0.635, 0.5, 0.17, 1.4345, 0.611, 0.309, 0.418, negative
F, 0.645, 0.48, 0.19, 1.371, 0.6925, 0.2905, 0.35, negative
F, 0.655, 0.505, 0.19, 1.3485, 0.5935, 0.2745, 0.425, negative
F, 0.66, 0.535, 0.175, 1.5175, 0.711, 0.3125, 0.415, negative
M, 0.665, 0.52, 0.175, 1.3725, 0.606, 0.32, 0.395, negative
M, 0.67, 0.505, 0.16, 1.2585, 0.6255, 0.311, 0.308, negative
F, 0.69, 0.55, 0.2, 1.569, 0.687, 0.3675, 0.46, negative
F, 0.71, 0.57, 0.195, 1.9805, 0.9925, 0.4925, 0.48, negative
M, 0.75, 0.595, 0.205, 2.2205, 1.083, 0.421, 0.63, negative
M, 0.77, 0.62, 0.195, 2.5155, 1.1155, 0.6415, 0.642, negative
M, 0.775, 0.63, 0.25, 2.7795, 1.3485, 0.76, 0.578, negative
F, 0.615, 0.495, 0.16, 1.255, 0.5815, 0.3195, 0.3225, negative
M, 0.62, 0.485, 0.155, 1.0295, 0.425, 0.2315, 0.335, negative
M, 0.635, 0.525, 0.16, 1.195, 0.5435, 0.246, 0.335, negative
M, 0.635, 0.5, 0.165, 1.273, 0.6535, 0.213, 0.365, negative
F, 0.645, 0.51, 0.18, 1.6195, 0.7815, 0.322, 0.4675, negative
M, 0.665, 0.515, 0.2, 1.2695, 0.5115, 0.2675, 0.436, negative
M, 0.665, 0.525, 0.18, 1.429, 0.6715, 0.29, 0.4, negative
F, 0.67, 0.53, 0.205, 1.4015, 0.643, 0.2465, 0.416, negative
M, 0.68, 0.54, 0.19, 1.623, 0.7165, 0.354, 0.4715, negative
M, 0.7, 0.55, 0.175, 1.4405, 0.6565, 0.2985, 0.375, negative
F, 0.72, 0.575, 0.18, 1.6705, 0.732, 0.3605, 0.501, negative
M, 0.505, 0.395, 0.135, 0.5915, 0.288, 0.1315, 0.185, negative
M, 0.605, 0.445, 0.14, 0.982, 0.4295, 0.2085, 0.295, negative
F, 0.69, 0.54, 0.195, 1.2525, 0.73, 0.3975, 0.462, negative
F, 0.72, 0.575, 0.215, 2.1, 0.8565, 0.4825, 0.602, negative
M, 0.62, 0.51, 0.175, 1.1505, 0.4375, 0.2265, 0.4, negative
M, 0.595, 0.47, 0.15, 0.8915, 0.359, 0.2105, 0.245, negative
M, 0.565, 0.425, 0.1, 0.7145, 0.3055, 0.166, 0.18, negative
M, 0.46, 0.375, 0.135, 0.4935, 0.186, 0.0845, 0.17, negative
M, 0.61, 0.5, 0.165, 1.2715, 0.4915, 0.185, 0.49, negative
F, 0.64, 0.51, 0.2, 1.3905, 0.61, 0.3315, 0.41, negative
M, 0.575, 0.45, 0.185, 0.925, 0.342, 0.197, 0.35, negative
M, 0.47, 0.37, 0.135, 0.547, 0.222, 0.1325, 0.17, negative
F, 0.505, 0.39, 0.175, 0.692, 0.267, 0.15, 0.215, negative
M, 0.415, 0.315, 0.125, 0.388, 0.068, 0.09, 0.125, negative
F, 0.585, 0.455, 0.165, 0.998, 0.345, 0.2495, 0.315, negative
M, 0.51, 0.395, 0.145, 0.6185, 0.216, 0.1385, 0.24, negative
M, 0.57, 0.45, 0.16, 0.8615, 0.3725, 0.2175, 0.255, negative
M, 0.525, 0.425, 0.12, 0.702, 0.3335, 0.1465, 0.22, negative
F, 0.65, 0.5, 0.165, 1.1445, 0.485, 0.218, 0.365, negative
F, 0.505, 0.385, 0.135, 0.6185, 0.251, 0.1175, 0.2, negative
F, 0.515, 0.435, 0.17, 0.631, 0.2765, 0.111, 0.216, negative
M, 0.55, 0.45, 0.155, 0.7895, 0.343, 0.159, 0.25, negative
F, 0.63, 0.505, 0.165, 1.065, 0.4595, 0.216, 0.315, negative
I, 0.56, 0.44, 0.17, 0.9445, 0.3545, 0.2175, 0.3, negative
F, 0.405, 0.325, 0.11, 0.3575, 0.145, 0.0725, 0.11, negative
F, 0.5, 0.405, 0.15, 0.5965, 0.253, 0.126, 0.185, negative
I, 0.535, 0.41, 0.155, 0.6315, 0.2745, 0.1415, 0.1815, negative
I, 0.415, 0.325, 0.115, 0.3285, 0.1405, 0.051, 0.106, negative
F, 0.45, 0.345, 0.115, 0.496, 0.1905, 0.117, 0.14, negative
F, 0.585, 0.415, 0.155, 0.6985, 0.3, 0.146, 0.195, negative
I, 0.625, 0.43, 0.175, 1.411, 0.572, 0.297, 0.395, negative
F, 0.505, 0.38, 0.145, 0.651, 0.2935, 0.19, 0.17, negative
F, 0.475, 0.365, 0.13, 0.4805, 0.1905, 0.114, 0.1475, negative
M, 0.5, 0.38, 0.135, 0.5835, 0.2295, 0.1265, 0.18, negative
M, 0.52, 0.4, 0.165, 0.8565, 0.2745, 0.201, 0.21, negative
M, 0.45, 0.36, 0.16, 0.567, 0.174, 0.1245, 0.225, negative
M, 0.505, 0.4, 0.155, 0.8415, 0.2715, 0.1775, 0.285, negative
F, 0.48, 0.39, 0.125, 0.6905, 0.219, 0.155, 0.2, negative
M, 0.64, 0.585, 0.195, 1.647, 0.7225, 0.331, 0.471, negative
